logE_center,E_center_eV,E_center_EeV,N_events,expo_km2sr_yr,delta_E_eV,flux,flux_err_low,flux_err_high,flux_E3,flux_E3_err_low,flux_E3_err_high,valid_bin,high_statistics
17.55,3.5481338923357606e+17,0.3548133892335761,0,0.0,8.169880208439381e+16,0.0,0.0,0.0,0.0,0.0,0.0,False,False
17.65,4.4668359215096166e+17,0.44668359215096165,0,0.0,1.0285269805718512e+17,0.0,0.0,0.0,0.0,0.0,0.0,False,False
17.75,5.6234132519034906e+17,0.5623413251903491,0,0.0,1.2948387525578331e+17,0.0,0.0,0.0,0.0,0.0,0.0,False,False
17.85,7.079457843841403e+17,0.7079457843841402,0,0.0,1.6301054097709216e+17,0.0,0.0,0.0,0.0,0.0,0.0,False,False
17.95,8.912509381337441e+17,0.8912509381337441,1,9.1811,2.0521811242637472e+17,5.307494998387474e-19,4.86494752598596e-19,1.6815555159208163e-18,3.757418709748291e+35,3.444119092271785e+35,1.1904501387040304e+36,True,False
18.05,1.1220184543019653e+18,1.1220184543019653,0,0.0,2.5835429669399632e+17,0.0,0.0,0.0,0.0,0.0,0.0,False,False
18.15,1.4125375446227497e+18,1.4125375446227497,0,0.0,3.252487893542801e+17,0.0,0.0,0.0,0.0,0.0,0.0,False,False
18.25,1.7782794100389228e+18,1.7782794100389228,0,0.0,4.0946396607339283e+17,0.0,0.0,0.0,0.0,0.0,0.0,False,False
18.35,2.238721138568347e+18,2.238721138568347,0,0.0,5.154845921038207e+17,0.0,0.0,0.0,0.0,0.0,0.0,False,False
18.45,2.818382931264449e+18,2.818382931264449,0,0.0,6.489566523878474e+17,0.0,0.0,0.0,0.0,0.0,0.0,False,False
18.55,3.5481338923357604e+18,3.5481338923357604,1,9.1591,8.169880208439379e+17,1.3363847484342835e-19,1.2249548379482238e-19,4.2340221626301467e-19,5.969411399263899e+36,5.471672272374162e+36,1.8912682288504327e+37,True,False
18.65,4.4668359215096166e+18,4.466835921509617,0,0.0,1.0285269805718513e+18,0.0,0.0,0.0,0.0,0.0,0.0,False,False
18.75,5.623413251903491e+18,5.623413251903491,0,0.0,1.2948387525578335e+18,0.0,0.0,0.0,0.0,0.0,0.0,False,False
18.85,7.079457843841402e+18,7.079457843841402,0,0.0,1.6301054097709215e+18,0.0,0.0,0.0,0.0,0.0,0.0,False,False
18.95,8.91250938133744e+18,8.91250938133744,0,0.0,2.0521811242637468e+18,0.0,0.0,0.0,0.0,0.0,0.0,False,False
19.05,1.1220184543019653e+19,11.220184543019654,0,0.0,2.5835429669399634e+18,0.0,0.0,0.0,0.0,0.0,0.0,False,False
19.15,1.4125375446227497e+19,14.125375446227498,0,0.0,3.252487893542802e+18,0.0,0.0,0.0,0.0,0.0,0.0,False,False
19.25,1.7782794100389229e+19,17.78279410038923,0,0.0,4.0946396607339284e+18,0.0,0.0,0.0,0.0,0.0,0.0,False,False
19.35,2.238721138568347e+19,22.387211385683468,0,0.0,5.154845921038206e+18,0.0,0.0,0.0,0.0,0.0,0.0,False,False
19.45,2.8183829312644493e+19,28.183829312644495,0,0.0,6.489566523878476e+18,0.0,0.0,0.0,0.0,0.0,0.0,False,False
19.55,3.5481338923357606e+19,35.481338923357605,0,0.0,8.169880208439379e+18,0.0,0.0,0.0,0.0,0.0,0.0,False,False
19.65,4.466835921509617e+19,44.66835921509617,0,0.0,1.0285269805718512e+19,0.0,0.0,0.0,0.0,0.0,0.0,False,False
19.75,5.6234132519034905e+19,56.2341325190349,0,0.0,1.2948387525578332e+19,0.0,0.0,0.0,0.0,0.0,0.0,False,False
19.85,7.0794578438414025e+19,70.79457843841402,0,0.0,1.6301054097709216e+19,0.0,0.0,0.0,0.0,0.0,0.0,False,False
19.95,8.91250938133744e+19,89.1250938133744,0,0.0,2.0521811242637468e+19,0.0,0.0,0.0,0.0,0.0,0.0,False,False
