confidence_level,contour_id,point_id,log_mu,log_coupling
0.95,0,0,15.708866664558677,-10.0
0.95,0,1,15.81879522777818,-9.791666666666666
0.95,0,2,15.833333333333334,-9.706512331456842
0.95,0,3,15.883636919318612,-9.583333333333334
0.95,0,4,15.994106620354543,-9.375
0.95,0,5,16.041666666666668,-9.248958403871136
0.95,0,6,16.133116004599813,-9.166666666666666
0.95,0,7,16.220091719693492,-8.958333333333334
0.95,0,8,16.25,-8.85303167456333
0.95,0,9,16.320843573942774,-8.75
0.95,0,10,16.452651881535864,-8.541666666666666
0.95,0,11,16.458333333333332,-8.53284155565853
0.95,0,12,16.666666666666664,-8.408728884921523
0.95,0,13,16.760234473675407,-8.333333333333334
0.95,0,14,16.875,-8.229171090700493
0.95,0,15,17.083333333333332,-8.144470420696875
0.95,0,16,17.110403638212894,-8.125
0.95,0,17,17.291666666666668,-8.016912374055853
0.95,0,18,17.4603462710064,-7.916666666666666
0.95,0,19,17.5,-7.893427134347211
0.95,0,20,17.708333333333332,-7.838124277230712
0.95,0,21,17.85371062343584,-7.708333333333334
0.95,0,22,17.916666666666668,-7.671388047837166
0.95,0,23,18.125,-7.650824189188464
0.95,0,24,18.333333333333332,-7.50970715917442
0.95,0,25,18.349831648571094,-7.5
0.95,0,26,18.541666666666668,-7.399147115824118
0.95,0,27,18.75,-7.328919215185731
0.95,0,28,18.80439824036894,-7.291666666666666
0.95,0,29,18.958333333333332,-7.227387039566317
0.95,0,30,19.13966056304543,-7.083333333333333
0.95,0,31,19.166666666666668,-7.063243547398878
0.95,0,32,19.375,-6.960264894943803
0.95,0,33,19.545642887393925,-6.875
0.95,0,34,19.583333333333336,-6.857937593126062
0.95,0,35,19.791666666666668,-6.84076312291886
0.95,0,36,19.97341535004705,-6.666666666666666
0.95,0,37,20.0,-6.659373781107052
