scenario,E_field_V_per_m,mu_GeV,enhancement_factor,log_rate_liv,observable
Current Strong Laser (10¹³ V/m),10000000000000.0,1000000000000.0,1.0,-180453.96508939777,False
Current Strong Laser (10¹³ V/m),10000000000000.0,2069138081114.79,1.0,-180453.96508939777,False
Current Strong Laser (10¹³ V/m),10000000000000.0,4281332398719.396,1.0,-180453.96508939777,False
Current Strong Laser (10¹³ V/m),10000000000000.0,8858667904100.832,1.0,-180453.96508939777,False
Current Strong Laser (10¹³ V/m),10000000000000.0,18329807108324.375,1.0,-180453.96508939777,False
Current Strong Laser (10¹³ V/m),10000000000000.0,37926901907322.54,1.0,-180453.96508939777,False
Current Strong Laser (10¹³ V/m),10000000000000.0,78475997035146.23,1.0,-180453.96508939777,False
Current Strong Laser (10¹³ V/m),10000000000000.0,162377673918871.75,1.0,-180453.96508939777,False
Current Strong Laser (10¹³ V/m),10000000000000.0,335981828628378.8,1.0,-180453.96508939777,False
Current Strong Laser (10¹³ V/m),10000000000000.0,695192796177559.1,1.0,-180453.96508939777,False
Current Strong Laser (10¹³ V/m),10000000000000.0,1438449888287666.0,1.0,-180453.96508939777,False
Current Strong Laser (10¹³ V/m),10000000000000.0,2976351441631313.0,1.0,-180453.96508939777,False
Current Strong Laser (10¹³ V/m),10000000000000.0,6158482110660254.0,1.0,-180453.96508939777,False
Current Strong Laser (10¹³ V/m),10000000000000.0,1.2742749857031322e+16,1.0,-180453.96508939777,False
Current Strong Laser (10¹³ V/m),10000000000000.0,2.636650898730345e+16,1.0,-180453.96508939777,False
Current Strong Laser (10¹³ V/m),10000000000000.0,5.4555947811685144e+16,1.0,-180453.96508939777,False
Current Strong Laser (10¹³ V/m),10000000000000.0,1.128837891684693e+17,1.0,-180453.96508939777,False
Current Strong Laser (10¹³ V/m),10000000000000.0,2.3357214690901213e+17,1.0,-180453.96508939777,False
Current Strong Laser (10¹³ V/m),10000000000000.0,4.8329302385717325e+17,1.0,-180453.96508939777,False
Current Strong Laser (10¹³ V/m),10000000000000.0,1e+18,1.0,-180453.96508939777,False
Next-Gen Extreme Laser (10¹⁵ V/m),1000000000000000.0,1000000000000.0,1.000000000000001,-1763.8951798242688,False
Next-Gen Extreme Laser (10¹⁵ V/m),1000000000000000.0,2069138081114.79,1.0000000000000004,-1763.8951798242688,False
Next-Gen Extreme Laser (10¹⁵ V/m),1000000000000000.0,4281332398719.396,1.0000000000000002,-1763.8951798242688,False
Next-Gen Extreme Laser (10¹⁵ V/m),1000000000000000.0,8858667904100.832,1.0000000000000002,-1763.8951798242688,False
Next-Gen Extreme Laser (10¹⁵ V/m),1000000000000000.0,18329807108324.375,1.0,-1763.8951798242688,False
Next-Gen Extreme Laser (10¹⁵ V/m),1000000000000000.0,37926901907322.54,1.0,-1763.8951798242688,False
Next-Gen Extreme Laser (10¹⁵ V/m),1000000000000000.0,78475997035146.23,1.0,-1763.8951798242688,False
Next-Gen Extreme Laser (10¹⁵ V/m),1000000000000000.0,162377673918871.75,1.0,-1763.8951798242688,False
Next-Gen Extreme Laser (10¹⁵ V/m),1000000000000000.0,335981828628378.8,1.0,-1763.8951798242688,False
Next-Gen Extreme Laser (10¹⁵ V/m),1000000000000000.0,695192796177559.1,1.0,-1763.8951798242688,False
Next-Gen Extreme Laser (10¹⁵ V/m),1000000000000000.0,1438449888287666.0,1.0,-1763.8951798242688,False
Next-Gen Extreme Laser (10¹⁵ V/m),1000000000000000.0,2976351441631313.0,1.0,-1763.8951798242688,False
Next-Gen Extreme Laser (10¹⁵ V/m),1000000000000000.0,6158482110660254.0,1.0,-1763.8951798242688,False
Next-Gen Extreme Laser (10¹⁵ V/m),1000000000000000.0,1.2742749857031322e+16,1.0,-1763.8951798242688,False
Next-Gen Extreme Laser (10¹⁵ V/m),1000000000000000.0,2.636650898730345e+16,1.0,-1763.8951798242688,False
Next-Gen Extreme Laser (10¹⁵ V/m),1000000000000000.0,5.4555947811685144e+16,1.0,-1763.8951798242688,False
Next-Gen Extreme Laser (10¹⁵ V/m),1000000000000000.0,1.128837891684693e+17,1.0,-1763.8951798242688,False
Next-Gen Extreme Laser (10¹⁵ V/m),1000000000000000.0,2.3357214690901213e+17,1.0,-1763.8951798242688,False
Next-Gen Extreme Laser (10¹⁵ V/m),1000000000000000.0,4.8329302385717325e+17,1.0,-1763.8951798242688,False
Next-Gen Extreme Laser (10¹⁵ V/m),1000000000000000.0,1e+18,1.0,-1763.8951798242688,False
Future Ultrastrong (10¹⁶ V/m),1.3228826430362077e+17,1000000000000.0,1.0000000000001323,31.61389634032193,True
Future Ultrastrong (10¹⁶ V/m),1.3228826430362077e+17,2069138081114.79,1.000000000000064,31.6138963403219,True
Future Ultrastrong (10¹⁶ V/m),1.3228826430362077e+17,4281332398719.396,1.0000000000000309,31.613896340321887,True
Future Ultrastrong (10¹⁶ V/m),1.3228826430362077e+17,8858667904100.832,1.0000000000000149,31.61389634032188,True
Future Ultrastrong (10¹⁶ V/m),1.3228826430362077e+17,18329807108324.375,1.0000000000000073,31.613896340321876,True
Future Ultrastrong (10¹⁶ V/m),1.3228826430362077e+17,37926901907322.54,1.0000000000000036,31.613896340321872,True
Future Ultrastrong (10¹⁶ V/m),1.3228826430362077e+17,78475997035146.23,1.0000000000000018,31.613896340321872,True
Future Ultrastrong (10¹⁶ V/m),1.3228826430362077e+17,162377673918871.75,1.0000000000000009,31.613896340321872,True
Future Ultrastrong (10¹⁶ V/m),1.3228826430362077e+17,335981828628378.8,1.0000000000000004,31.613896340321872,True
Future Ultrastrong (10¹⁶ V/m),1.3228826430362077e+17,695192796177559.1,1.0000000000000002,31.613896340321872,True
Future Ultrastrong (10¹⁶ V/m),1.3228826430362077e+17,1438449888287666.0,1.0,31.613896340321872,True
Future Ultrastrong (10¹⁶ V/m),1.3228826430362077e+17,2976351441631313.0,1.0,31.613896340321872,True
Future Ultrastrong (10¹⁶ V/m),1.3228826430362077e+17,6158482110660254.0,1.0,31.613896340321872,True
Future Ultrastrong (10¹⁶ V/m),1.3228826430362077e+17,1.2742749857031322e+16,1.0,31.613896340321872,True
Future Ultrastrong (10¹⁶ V/m),1.3228826430362077e+17,2.636650898730345e+16,1.0,31.613896340321872,True
Future Ultrastrong (10¹⁶ V/m),1.3228826430362077e+17,5.4555947811685144e+16,1.0,31.613896340321872,True
Future Ultrastrong (10¹⁶ V/m),1.3228826430362077e+17,1.128837891684693e+17,1.0,31.613896340321872,True
Future Ultrastrong (10¹⁶ V/m),1.3228826430362077e+17,2.3357214690901213e+17,1.0,31.613896340321872,True
Future Ultrastrong (10¹⁶ V/m),1.3228826430362077e+17,4.8329302385717325e+17,1.0,31.613896340321872,True
Future Ultrastrong (10¹⁶ V/m),1.3228826430362077e+17,1e+18,1.0,31.613896340321872,True
