mu_GeV,field_name,E_field_V_per_m,log_rate_standard,log_rate_liv,enhancement_factor,log_enhancement,observable_standard,observable_liv,exponential_enhancement,net_enhancement_db,model,coupling
1000000000000.0,Lab Strong,10000000000000.0,-180453.96508939777,-180453.96508939777,1.0,0.0,False,False,False,0.0,polynomial,0.1
1000000000000.0,Lab Extreme,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
1000000000000.0,NS Surface,1000000000000.0,-1804874.7824491567,-1804874.7824491567,1.0,0.0,False,False,False,0.0,polynomial,0.1
1000000000000.0,NS Magnetosphere,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
1000000000000.0,Schwinger,1.3228826430362076e+18,45.89328352489844,45.8932835248985,1.0000000000001323,5.747391700657211e-14,True,True,False,5.747391700657211e-13,polynomial,0.1
1610262027560.9426,Lab Strong,10000000000000.0,-180453.96508939777,-180453.96508939777,1.0,0.0,False,False,False,0.0,polynomial,0.1
1610262027560.9426,Lab Extreme,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
1610262027560.9426,NS Surface,1000000000000.0,-1804874.7824491567,-1804874.7824491567,1.0,0.0,False,False,False,0.0,polynomial,0.1
1610262027560.9426,NS Magnetosphere,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
1610262027560.9426,Schwinger,1.3228826430362076e+18,45.89328352489844,45.89328352489848,1.0000000000000822,3.568011626247016e-14,True,True,False,3.568011626247016e-13,polynomial,0.1
2592943797404.667,Lab Strong,10000000000000.0,-180453.96508939777,-180453.96508939777,1.0,0.0,False,False,False,0.0,polynomial,0.1
2592943797404.667,Lab Extreme,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
2592943797404.667,NS Surface,1000000000000.0,-1804874.7824491567,-1804874.7824491567,1.0,0.0,False,False,False,0.0,polynomial,0.1
2592943797404.667,NS Magnetosphere,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
2592943797404.667,Schwinger,1.3228826430362076e+18,45.89328352489844,45.893283524898465,1.000000000000051,2.2179531730725036e-14,True,True,False,2.2179531730725037e-13,polynomial,0.1
4175318936560.4087,Lab Strong,10000000000000.0,-180453.96508939777,-180453.96508939777,1.0,0.0,False,False,False,0.0,polynomial,0.1
4175318936560.4087,Lab Extreme,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
4175318936560.4087,NS Surface,1000000000000.0,-1804874.7824491567,-1804874.7824491567,1.0,0.0,False,False,False,0.0,polynomial,0.1
4175318936560.4087,NS Magnetosphere,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
4175318936560.4087,Schwinger,1.3228826430362076e+18,45.89328352489844,45.89328352489846,1.0000000000000318,1.3789882771711787e-14,True,True,False,1.3789882771711787e-13,polynomial,0.1
6723357536499.335,Lab Strong,10000000000000.0,-180453.96508939777,-180453.96508939777,1.0,0.0,False,False,False,0.0,polynomial,0.1
6723357536499.335,Lab Extreme,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
6723357536499.335,NS Surface,1000000000000.0,-1804874.7824491567,-1804874.7824491567,1.0,0.0,False,False,False,0.0,polynomial,0.1
6723357536499.335,NS Magnetosphere,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
6723357536499.335,Schwinger,1.3228826430362076e+18,45.89328352489844,45.89328352489845,1.0000000000000198,8.58251445232417e-15,True,True,False,8.582514452324171e-14,polynomial,0.1
10826367338740.562,Lab Strong,10000000000000.0,-180453.96508939777,-180453.96508939777,1.0,0.0,False,False,False,0.0,polynomial,0.1
10826367338740.562,Lab Extreme,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
10826367338740.562,NS Surface,1000000000000.0,-1804874.7824491567,-1804874.7824491567,1.0,0.0,False,False,False,0.0,polynomial,0.1
10826367338740.562,NS Magnetosphere,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
10826367338740.562,Schwinger,1.3228826430362076e+18,45.89328352489844,45.89328352489845,1.0000000000000122,5.303801066043047e-15,True,True,False,5.303801066043047e-14,polynomial,0.1
17433288221999.873,Lab Strong,10000000000000.0,-180453.96508939777,-180453.96508939777,1.0,0.0,False,False,False,0.0,polynomial,0.1
17433288221999.873,Lab Extreme,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
17433288221999.873,NS Surface,1000000000000.0,-1804874.7824491567,-1804874.7824491567,1.0,0.0,False,False,False,0.0,polynomial,0.1
17433288221999.873,NS Magnetosphere,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
17433288221999.873,Schwinger,1.3228826430362076e+18,45.89328352489844,45.89328352489844,1.0000000000000075,3.278713386281164e-15,True,True,False,3.278713386281164e-14,polynomial,0.1
28072162039411.812,Lab Strong,10000000000000.0,-180453.96508939777,-180453.96508939777,1.0,0.0,False,False,False,0.0,polynomial,0.1
28072162039411.812,Lab Extreme,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
28072162039411.812,NS Surface,1000000000000.0,-1804874.7824491567,-1804874.7824491567,1.0,0.0,False,False,False,0.0,polynomial,0.1
28072162039411.812,NS Magnetosphere,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
28072162039411.812,Schwinger,1.3228826430362076e+18,45.89328352489844,45.89328352489844,1.0000000000000047,2.025087679761898e-15,True,True,False,2.025087679761898e-14,polynomial,0.1
45203536563602.41,Lab Strong,10000000000000.0,-180453.96508939777,-180453.96508939777,1.0,0.0,False,False,False,0.0,polynomial,0.1
45203536563602.41,Lab Extreme,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
45203536563602.41,NS Surface,1000000000000.0,-1804874.7824491567,-1804874.7824491567,1.0,0.0,False,False,False,0.0,polynomial,0.1
45203536563602.41,NS Magnetosphere,1000000000000000.0,-1763.8951798242688,-1763.8951798242688,1.0,0.0,False,False,False,0.0,polynomial,0.1
45203536563602.41,Schwinger,1.3228826430362076e+18,45.89328352489844,45.89328352489844,1.0000000000000029,1.2536257065192714e-15,True,True,False,1.2536257065192713e-14,polynomial,0.1
