Environment,E_field_V_per_m,mu_scale_GeV,log_gamma_standard,log_gamma_polymer,enhancement_factor,observable_standard,observable_polymer
Laboratory (strong laser),10000000000000.0,1000000000000.0,-0.05733192478044155,-0.057331924780441565,1.0000000000000002,True,True
Laboratory (strong laser),10000000000000.0,1000000000000000.0,-0.05733192478044155,-0.05733192478044155,1.0,True,True
Laboratory (strong laser),10000000000000.0,1e+16,-0.05733192478044155,-0.05733192478044155,1.0,True,True
Laboratory (strong laser),10000000000000.0,1e+17,-0.05733192478044155,-0.05733192478044155,1.0,True,True
Laboratory (strong laser),10000000000000.0,1e+18,-0.05733192478044155,-0.05733192478044155,1.0,True,True
Laboratory (strong laser),10000000000000.0,1e+19,-0.05733192478044155,-0.05733192478044155,1.0,True,True
Laboratory (extreme),1000000000000000.0,1000000000000.0,-0.0005733192478044155,-0.0005733192478044267,1.0000000000000195,True,True
Laboratory (extreme),1000000000000000.0,1000000000000000.0,-0.0005733192478044155,-0.0005733192478044155,1.0,True,True
Laboratory (extreme),1000000000000000.0,1e+16,-0.0005733192478044155,-0.0005733192478044155,1.0,True,True
Laboratory (extreme),1000000000000000.0,1e+17,-0.0005733192478044155,-0.0005733192478044155,1.0,True,True
Laboratory (extreme),1000000000000000.0,1e+18,-0.0005733192478044155,-0.0005733192478044155,1.0,True,True
Laboratory (extreme),1000000000000000.0,1e+19,-0.0005733192478044155,-0.0005733192478044155,1.0,True,True
Neutron star surface,1000000000000.0,1000000000000.0,-0.5733192478044156,-0.5733192478044156,1.0,True,True
Neutron star surface,1000000000000.0,1000000000000000.0,-0.5733192478044156,-0.5733192478044156,1.0,True,True
Neutron star surface,1000000000000.0,1e+16,-0.5733192478044156,-0.5733192478044156,1.0,True,True
Neutron star surface,1000000000000.0,1e+17,-0.5733192478044156,-0.5733192478044156,1.0,True,True
Neutron star surface,1000000000000.0,1e+18,-0.5733192478044156,-0.5733192478044156,1.0,True,True
Neutron star surface,1000000000000.0,1e+19,-0.5733192478044156,-0.5733192478044156,1.0,True,True
Neutron star magnetosphere,1000000000000000.0,1000000000000.0,-0.0005733192478044155,-0.0005733192478044267,1.0000000000000195,True,True
Neutron star magnetosphere,1000000000000000.0,1000000000000000.0,-0.0005733192478044155,-0.0005733192478044155,1.0,True,True
Neutron star magnetosphere,1000000000000000.0,1e+16,-0.0005733192478044155,-0.0005733192478044155,1.0,True,True
Neutron star magnetosphere,1000000000000000.0,1e+17,-0.0005733192478044155,-0.0005733192478044155,1.0,True,True
Neutron star magnetosphere,1000000000000000.0,1e+18,-0.0005733192478044155,-0.0005733192478044155,1.0,True,True
Neutron star magnetosphere,1000000000000000.0,1e+19,-0.0005733192478044155,-0.0005733192478044155,1.0,True,True
Black hole ergosphere,1e+18,1000000000000.0,-5.733192478044155e-07,-5.733192478156571e-07,1.0000000000196079,True,True
Black hole ergosphere,1e+18,1000000000000000.0,-5.733192478044155e-07,-5.733192478044267e-07,1.0000000000000195,True,True
Black hole ergosphere,1e+18,1e+16,-5.733192478044155e-07,-5.733192478044166e-07,1.000000000000002,True,True
Black hole ergosphere,1e+18,1e+17,-5.733192478044155e-07,-5.733192478044156e-07,1.0000000000000002,True,True
Black hole ergosphere,1e+18,1e+18,-5.733192478044155e-07,-5.733192478044155e-07,1.0,True,True
Black hole ergosphere,1e+18,1e+19,-5.733192478044155e-07,-5.733192478044155e-07,1.0,True,True
Schwinger critical field,1.3e+16,1000000000000.0,-4.410148060033965e-05,-4.4101480600350895e-05,1.000000000000255,True,True
Schwinger critical field,1.3e+16,1000000000000000.0,-4.410148060033965e-05,-4.410148060033966e-05,1.0000000000000002,True,True
Schwinger critical field,1.3e+16,1e+16,-4.410148060033965e-05,-4.410148060033965e-05,1.0,True,True
Schwinger critical field,1.3e+16,1e+17,-4.410148060033965e-05,-4.410148060033965e-05,1.0,True,True
Schwinger critical field,1.3e+16,1e+18,-4.410148060033965e-05,-4.410148060033965e-05,1.0,True,True
Schwinger critical field,1.3e+16,1e+19,-4.410148060033965e-05,-4.410148060033965e-05,1.0,True,True
