target_field_V_per_m,optimal_mu_GeV,max_enhancement,log_enhancement,significant,optimization_success,model,coupling,field_name
10000000000000.0,9.999903016684143e+18,1.0,0.0,False,True,polynomial,0.1,Lab Strong
1000000000000000.0,9.999903016684143e+18,1.0,0.0,False,True,polynomial,0.1,Lab Extreme
10000000000000.0,9.999903016684143e+18,1.0,0.0,False,True,polynomial,1.0,Lab Strong
1000000000000000.0,9.999903016684143e+18,1.0,0.0,False,True,polynomial,1.0,Lab Extreme
10000000000000.0,9.999903016684143e+18,1.0,0.0,False,True,polynomial,10.0,Lab Strong
1000000000000000.0,10001308273.451902,1.0000000000009999,4.342366581887281e-13,False,True,polynomial,10.0,Lab Extreme
10000000000000.0,9.999903016684143e+18,1.0,0.0,False,True,exponential,0.1,Lab Strong
1000000000000000.0,9.999903016684143e+18,1.0,0.0,False,True,exponential,0.1,Lab Extreme
10000000000000.0,9.999903016684143e+18,1.0,0.0,False,True,exponential,1.0,Lab Strong
1000000000000000.0,9.999903016684143e+18,1.0,0.0,False,True,exponential,1.0,Lab Extreme
10000000000000.0,9.999903016684143e+18,1.0,0.0,False,True,exponential,10.0,Lab Strong
1000000000000000.0,9.999903016684143e+18,1.0,0.0,False,True,exponential,10.0,Lab Extreme
10000000000000.0,9.999903016684143e+18,1.0,0.0,False,True,threshold,0.1,Lab Strong
1000000000000000.0,9.999903016684143e+18,1.0,0.0,False,True,threshold,0.1,Lab Extreme
10000000000000.0,9.999903016684143e+18,1.0,0.0,False,True,threshold,1.0,Lab Strong
1000000000000000.0,9.999903016684143e+18,1.0,0.0,False,True,threshold,1.0,Lab Extreme
10000000000000.0,9.999903016684143e+18,1.0,0.0,False,True,threshold,10.0,Lab Strong
1000000000000000.0,9.999903016684143e+18,1.0,0.0,False,True,threshold,10.0,Lab Extreme
10000000000000.0,9.999903016684143e+18,1.0,0.0,False,True,rainbow,0.1,Lab Strong
1000000000000000.0,9.999903016684143e+18,1.0,0.0,False,True,rainbow,0.1,Lab Extreme
10000000000000.0,9.999903016684143e+18,1.0,0.0,False,True,rainbow,1.0,Lab Strong
1000000000000000.0,9.999903016684143e+18,1.0,0.0,False,True,rainbow,1.0,Lab Extreme
10000000000000.0,9.999903016684143e+18,1.0,0.0,False,True,rainbow,10.0,Lab Strong
1000000000000000.0,10001308273.451902,1.0000000000019997,8.68473316377022e-13,False,True,rainbow,10.0,Lab Extreme
